fawn,fawned
grunt,grunted
specify,specified
bewitch,bewitched
defrock,defrocked
require,required
ooze,oozed
posit,posited
collimate,collimated
depilate,depilated
rend,rent
froth,frothed
rent,rented
pry,pried
silhouette,silhouetted
fracture,fractured
paraphrase,paraphrased
blunt,blunted
surf,surfed
urge,urged
biff,biffed
embitter,embittered
remunerate,remunerated
evanesce,evanesced
multiply,multiplied
saunter,sauntered
annul,annulled
misfire,misfired
adopt,adopted
calcify,calcified
readjust,readjusted
slope,sloped
perch,perched
forage,foraged
cheat,cheated
reinvigorate,reinvigorated
trespass,trespassed
hack,hacked
broach,broached
trot,trotted
featherbed,featherbedded
gull,gulled
shimmer,shimmered
gulp,gulped
partake,partook
deign,deigned
crimp,crimped
lighten,lightened
jazz,jazzed
festoon,festooned
tailor,tailored
dye,dyed
hedge,hedged
closure,closured
reveal,revealed
pinnacle,pinnacled
outperform,outperformed
obliterate,obliterated
underplay,underplayed
paper,papered
convolve,convolved
picnic,picnicked
emote,emoted
prowl,prowled
detect,detected
emplace,emplaced
mortgage,mortgaged
review,reviewed
hiss,hissed
caucus,caucused
overcharge,overcharged
comb,combed
come,came
bemoan,bemoaned
quiet,quieted
contract,contracted
berry,berried
cabal,caballed
pot,potted
pop,popped
pole,poled
pod,podded
poll,polled
umpire,umpired
exasperate,exasperated
reimburse,reimbursed
padlock,padlocked
minister,ministered
dribble,dribbled
pilot,piloted
case,cased
shaft,shafted
hightail,hightailed
amend,amended
mount,mounted
cash,cashed
cast,cast
embank,embanked
shingle,shingled
mound,mounded
vest,vested
palliate,palliated
contrive,contrived
telephone,telephoned
parse,parsed
clutter,cluttered
saponify,saponified
reshape,reshaped
bowl,bowled
check,checked
careen,careened
applaud,applauded
nest,nested
weed,weeded
drivel,drivelled
weep,wept
ranch,ranched
imperil,imperiled
illume,illumed
model,modelled
reward,rewarded
justify,justified
clog,clogged
clot,clotted
lavish,lavished
kill,killed
polish,polished
cloy,cloyed
blow,blew
samba,sambaed
hint,hinted
except,excepted
enfilade,enfiladed
blob,blobbed
backbite,backbit
disrupt,disrupted
impound,impounded
snore,snored
snort,snorted
deduct,deducted
interlock,interlocked
deduce,deduced
coddle,coddled
slice,sliced
overstay,overstayed
renounce,renounced
slick,slicked
jiggle,jiggled
resonate,resonated
moor,moored
moot,mooted
inspect,inspected
communicate,communicated
slaughter,slaughtered
immigrate,immigrated
prattle,prattled
concuss,concussed
tread,trod
chivy,chivvied
jeer,jeered
shrimp,shrimped
stand,stood
doze,dozed
accredit,accredited
undervalue,undervalued
garb,garbed
garner,garnered
annotate,annotated
forewarn,forewarned
determine,determined
syringe,syringed
abrogate,abrogated
scry,scried
deterge,deterged
expatriate,expatriated
condone,condoned
carouse,caroused
abnegate,abnegated
winnow,winnowed
regard,regarded
betoken,betokened
notate,notated
jut,jutted
rouse,roused
emancipate,emancipated
fabricate,fabricated
wholesale,wholesaled
excruciate,excruciated
tiptoe,tiptoed
preside,presided
grasp,grasped
grass,grassed
politick,politicked
taste,tasted
frighten,frightened
trundle,trundled
encompass,encompassed
unteach,untaught
deserve,deserved
compel,compelled
rubber,rubbered
trash,trashed
sully,sullied
proliferate,proliferated
unbend,unbent
separate,separated
flocculate,flocculated
despoil,despoiled
luxate,luxated
invest,invested
curve,curved
telex,telexed
wamble,wambled
fizzle,fizzled
lace,laced
tarry,tarried
dish,dished
follow,followed
glimpse,glimpsed
wanton,wantoned
assuage,assuaged
begird,begirt
backslide,backslidden
disjoin,disjoined
induce,induced
worst,
ticket,ticketed
gainsay,gainsaid
induct,inducted
lisp,lisped
list,listed
trench,trenched
flick,flicked
tee,teed
rate,rated
design,designed
overachieve,overachieved
chalk,chalked
sue,sued
prepossess,prepossessed
sub,subbed
whap,whaped
sun,sunned
sum,summed
whimper,whimpered
crust,crusted
brief,briefed
overload,overloaded
crush,crushed
desegregate,desegregated
intersect,intersected
sup,supped
discern,discerned
recurve,recurved
lacquer,lacquered
eventuate,eventuated
transfigure,transfigured
misinterpret,misinterpreted
sophisticate,sophisticated
infringe,infringed
supplicate,supplicated
plonk,plonked
snub,snubbed
proceed,proceeded
disenable,disenabled
faint,fainted
wield,wielded
somnambulate,somnambulated
irritate,irritated
inlay,inlaid
garnish,garnished
hurrah,hurrahed
flaw,flawed
flap,flapped
mire,mired
stutter,stuttered
flag,flagged
stick,stuck
amputate,amputated
mellow,mellowed
domineer,domineered
berth,berthed
squish,squished
crossbreed,
conspire,conspired
coerce,coerced
arise,arose
cultivate,cultivated
allege,alleged
court,courted
irrigate,irrigated
goad,goaded
overbalance,overbalanced
sandwich,sandwiched
abdicate,abdicated
acerbate,acerbated
emulate,emulated
embalm,embalmed
preoccupy,preoccupied
reflect,reflected
disable,disabled
adventure,adventured
incurvate,incurvated
constringe,constringed
palpitate,palpitated
stash,stashed
ricochet,ricochetted
recrudesce,recrudesced
shore,shored
shade,shaded
retaliate,retaliated
dissatisfy,dissatisfied
abseil,abseiled
flaunt,flaunted
flounce,flounced
style,styled
glide,glided
resorb,resorbed
pray,prayed
resort,resorted
alter,altered
return,returned
belittle,belittled
accumulate,accumulated
refresh,refreshed
malfunction,malfunctioned
dong,donged
weight,weighted
recapitulate,recapitulated
expect,expected
undertake,undertook
disquiet,disquieted
loll,lolled
chaffer,chaffered
hearken,hearkened
gut,gutted
forgive,forgave
effect,effected
disinfect,disinfected
teach,taught
generate,generated
blister,blistered
thread,threaded
stampede,stampeded
appose,apposed
prejudice,prejudiced
circuit,circuited
debouch,debouched
bushel,bushelled
feed,feed
dine,dined
feel,felt
relate,related
fancy,fancied
plummet,plummeted
notify,notified
wench,wenched
blank,blanked
moan,moaned
script,scripted
interact,interacted
grime,grimed
collar,collared
swarm,swarmed
storm,stormed
store,stored
flyfish,flyfished
fidget,fidgeted
rifle,rifled
officiate,officiated
throttle,throttled
denazify,denazified
double,doubled
medicate,medicated
stall,stalled
cuff,cuffed
stale,staled
amass,amassed
exert,exerted
strengthen,strengthened
gall,galled
remodel,remodeled
bake,baked
drone,droned
eff,effed
populate,populated
reckon,reckoned
pillage,pillaged
inconvenience,inconvenienced
reach,reached
circumfuse,circumfused
splay,splayed
disbar,disbarred
destruct,destructed
devalue,devalued
notch,notched
liberate,liberated
avouch,avouched
niggle,niggled
asphalt,asphalted
unloosen,unloosened
chuff,chuffed
aggravate,aggravated
predecease,predeceased
mosey,moseyed
frivol,frivolled
betray,betrayed
shepherd,shepherded
hit,hit
invoke,invoked
babble,babbled
abscise,abscised
affright,affrighted
whistle,whistled
hie,hied
capacitate,capacitated
unbelt,unbelted
deaden,deadened
reprint,reprinted
banquet,banqueted
investigate,investigated
cringe,cringed
tourney,tourneyed
signify,signified
dump,dumped
resinate,resinated
arc,arcked
bare,bared
bark,barked
arm,armed
blurt,blurted
inebriate,inebriated
misjudge,misjudged
glimmer,glimmered
solo,soloed
derestrict,derestricted
sole,soled
outfit,outfitted
succeed,succeeded
franchise,franchised
prelude,preluded
bronze,bronzed
license,licensed
oversee,oversaw
interrogate,interrogated
attorn,attorned
sheathe,sheathed
reside,resided
distress,distressed
flitter,flittered
whelp,whelped
sweep,swept
whelm,whelmed
rave,raved
bolster,bolstered
decline,declined
dun,dunned
dibble,dibbled
overlook,overlooked
whop,whopped
deice,deiced
exculpate,exculpated
referee,refereed
flight,flighted
cinch,cinched
demand,demanded
heighten,heightened
shove,shoved
batch,batched
bodge,bodged
pitchfork,pitchforked
barricade,barricaded
bedizen,bedizened
putrefy,putrefied
demob,demobbed
waul,wauled
rip,ripped
rim,rimmed
impersonate,impersonated
rig,rigged
rid,ridded
rib,ribbed
chauffeur,chauffeured
shirr,shirred
stickle,stickled
shirk,shirked
sliver,slivered
overcrop,overcropped
negotiate,negotiated
cement,cemented
impede,impeded
birch,birched
brocade,brocaded
lower,lowered
earmark,earmarked
cheek,cheeked
cheep,cheeped
cheer,cheered
edge,edged
riffle,riffled
frizz,frizzed
immingle,immingled
presume,presumed
prorate,prorated
foreshorten,foreshortened
predetermine,predetermined
reinstate,reinstated
vindicate,vindicated
advocate,advocated
conscript,conscripted
preexist,preexisted
awaken,awakened
rotate,rotated
confront,confronted
ignore,ignored
collect,collected
distrust,distrusted
entice,enticed
cohabit,cohabited
transmute,transmuted
embroil,embroiled
emanate,emanated
incriminate,incriminated
litter,littered
candy,candied
vacate,vacated
retry,retried
debrief,debriefed
prop,propped
inoculate,inoculated
prod,prodded
roughcast,roughcast
tinker,tinkered
caseate,caseated
vesture,vestured
range,ranged
apperceive,apperceived
degrease,degreased
curtsy,curtsied
numerate,numerated
canal,canalled
gouge,gouged
scrunch,scrunched
acquiesce,acquiesced
question,questioned
swill,swilled
long,longed
delouse,deloused
etch,etched
sloganeer,sloganeered
counterpoise,counterpoised
plunge,plunged
crank,cranked
usurp,usurped
crane,craned
mystify,mystified
consist,consisted
elide,elided
highlight,highlighted
desorb,desorbed
steepen,steepened
freak,freaked
sublet,sublet
rally,rallied
peach,peached
nick,nicked
disenchant,disenchanted
caparison,caparisoned
ferment,fermented
mock,mocked
inflame,inflamed
puncture,punctured
assibilate,assibilated
wrinkle,wrinkled
sightsee,sightsaw
skydive,skydived
liquefy,liquefied
remit,remitted
rehear,reheard
buffalo,buffaloed
scroll,scrolled
pervert,perverted
alien,aliened
dispel,dispelled
gang,ganged
uphold,upheld
shanghai,shanghaied
cradle,cradled
stable,stabled
breach,breached
include,included
rag,ragged
toenail,toenailed
spool,spooled
spoon,spooned
foretell,foretold
spook,spooked
spoof,spoofed
posture,postured
redistribute,redistributed
diazotize,diazotized
quintuple,quintupled
machicolate,machicolated
outdo,outdid
misplay,misplayed
miscall,miscalled
miscreate,miscreated
smirch,smirched
reinsure,reinsured
pleat,pleated
chastise,chastised
trawl,trawled
fold,folded
marinade,marinaded
protrude,protruded
outsmart,outsmarted
spelunk,spelunked
relent,relented
attire,attired
relocate,relocated
sough,soughed
swoosh,swooshed
explore,explored
gloat,gloated
subedit,subedited
requite,requited
shovel,shovelled
forbid,forbade
motor,motored
duck,ducked
apply,applied
depute,deputed
redo,redid
ape,aped
figure,figured
birdlime,birdlimed
doodle,doodled
frog,frogged
procrastinate,procrastinated
dishevel,dishevelled
sort,sorted
impress,impressed
cooperate,cooperated
rabbit,rabbited
recount,recounted
incline,inclined
annoy,annoyed
thwack,thwacked
augment,augmented
linger,lingered
lumber,lumbered
chin,chinned
dissolve,dissolved
proof,proofed
tat,tatted
patrol,patrolled
tar,tarred
manhandle,manhandled
tax,taxed
crick,cricked
tag,tagged
condescend,condescended
tan,tanned
rape,raped
counterfeit,counterfeited
sip,sipped
sit,sat
tamper,tampered
outclass,outclassed
sic,sicked
resurge,resurged
panic,panicked
sin,sinned
exemplify,exemplified
attend,attended
perjure,perjured
abuse,abused
light,lighted
budge,budged
acetify,acetified
retrogress,retrogressed
beguile,beguiled
quake,quaked
wawl,wawled
badger,badgered
lounge,lounged
complicate,complicated
reeve,reeved
overvalue,overvalued
stridulate,stridulated
restrain,restrained
choose,chose
underpin,underpinned
holiday,holidayed
flex,flexed
crash,crashed
flour,floured
practice,practiced
flout,flouted
precess,precessed
fingerprint,fingerprinted
flee,fled
decapitate,decapitated
tram,trammed
feast,feasted
cocker,cockered
fiddle,fiddled
trap,trapped
cocoon,cocooned
proclaim,proclaimed
tabulate,tabulated
out,outed
effloresce,effloresced
ejaculate,ejaculated
superintend,superintended
clatter,clattered
impart,imparted
sacrifice,sacrificed
fricassee,fricasseed
intersperse,interspersed
implode,imploded
tenant,tenanted
overtake,overtook
substantiate,substantiated
uproot,uprooted
boondoggle,boondoggled
rubberneck,rubbernecked
echo,echoed
collogue,collogued
droop,drooped
overtrump,overtrumped
accent,accented
drool,drooled
boil,boiled
shell,shelled
shallow,shallowed
simulate,simulated
diminish,diminished
commence,commenced
vilipend,vilipended
elope,eloped
probe,probed
brazen,brazened
elongate,elongated
sculpture,sculptured
encore,encored
reposit,reposited
crucify,crucified
clip,clipped
fowl,fowled
splatter,splattered
outstrip,outstripped
disjoint,disjointed
luminesce,luminesced
angle,angled
befool,befooled
rout,routed
invigilate,invigilated
lope,loped
deprave,depraved
divert,diverted
clash,clashed
filch,filched
delve,delved
class,classed
clasp,clasped
deny,denied
refract,refracted
dent,dented
pipe,piped
putt,putted
utter,uttered
fear,feared
debate,debated
vesicate,vesicated
manacle,manacled
filiate,filiated
reminisce,reminisced
freeload,freeloaded
herald,heralded
inhabit,inhabited
outsell,outsold
prosecute,prosecuted
formulate,formulated
topple,toppled
skimp,skimped
spud,spudded
massacre,massacred
blare,blared
penetrate,penetrated
spur,spurred
swindle,swindled
bisect,bisected
compliment,complimented
ascertain,ascertained
view,viewed
ebb,ebbed
expel,expelled
gerrymander,gerrymandered
crossruff,crossruffed
lapidate,lapidated
closet,closeted
diverge,diverged
torpedo,torpedoed
avow,avowed
jot,jotted
joy,joyed
job,jobbed
joggle,joggled
spoil,spoilt
jog,jogged
abye,abought
stucco,stuccoed
disestablish,disestablished
demulsify,demulsified
grain,grained
retrograde,retrograded
tousle,tousled
canopy,canopied
munition,munitioned
wall,walled
hyphen,
walk,walked
subscribe,subscribed
respect,respected
predestinate,predestinated
transubstantiate,transubstantiated
enchain,enchained
tutor,tutored
semaphore,semaphored
bottlefeed,bottlefed
thrombose,thrombosed
nickel,nickelled
twinge,twinged
nicker,nickered
overturn,overturned
present,presented
twist,twisted
corset,corseted
sanctify,sanctified
wilt,wilted
will,willed
ensconce,ensconced
rename,renamed
layer,layered
apprehend,apprehended
disapprove,disapproved
thud,thudded
whore,whored
subcontract,subcontracted
cross,crossed
unite,united
clinker,clinkered
maculate,maculated
slave,slaved
recline,reclined
disagree,disagreed
pestle,pestled
pedal,pedaled
whale,whaled
lobby,lobbied
gutter,guttered
overwork,overworked
perpetrate,perpetrated
scissor,scissored
twirl,twirled
outgrow,outgrew
rocket,rocketed
obtain,obtained
replenish,replenished
distend,distended
smite,smited
console,consoled
reprehend,reprehended
supply,supplied
sky,skied
ski,skied
enact,enacted
branch,branched
masquerade,masqueraded
term,termed
overmaster,overmastered
know,knew
knot,knotted
press,pressed
redesign,redesigned
hitchhike,hitchhiked
exceed,exceeded
tumble,tumbled
holler,hollered
leaf,leafed
lead,led
leak,leaked
lean,leant
thank,thanked
leap,leapt
locate,located
obey,obeyed
slur,slurred
slum,slummed
paste,pasted
slug,slugged
slue,slued
throne,throned
throng,thronged
dovetail,dovetailed
saddle,saddled
surge,surged
swear,swore
bugle,bugled
own,owned
owe,owed
weather,weathered
champ,champed
brush,brushed
negate,negated
gurgle,gurgled
transfer,transferred
spiral,spiralled
dynamite,dynamited
nourish,nourished
shank,shanked
unwrap,unwrapped
mutter,muttered
assail,assailed
squeeze,squeezed
obturate,obturated
embolden,emboldened
recede,receded
distract,distracted
retool,retooled
record,recorded
supplant,supplanted
cake,caked
demonstrate,demonstrated
hornswoggle,hornswoggled
block,blocked
bewail,bewailed
affranchise,affranchised
nobble,nobbled
acidulate,acidulated
maroon,marooned
counteract,counteracted
glint,glinted
boot,booted
portion,portioned
tessellate,tessellated
book,booked
boom,boomed
sick,
repute,reputed
boob,boobed
pantomime,pantomimed
lance,lanced
junk,junked
mulch,mulched
auscultate,auscultated
frustrate,frustrated
mulct,mulcted
squeak,squeaked
squeal,squealed
extort,extorted
sass,sassed
unbridle,unbridled
jewel,jewelled
jellify,jellified
inspan,inspanned
